LeaderID,FamilyMemberRelationship,FamilyMemberName,FamilyMemberSex,FamilyMemberBirthString,FamilyMemberCurrentOrganization,FamilyMemberCurrentPosition,FamilyMemberDeathReported,FamilyString_2015
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,처: 김영숙(47년생)
김정일,부,김일성,남성,1912.04.15,국가,주석,사망,친동생: 김경희(46년생)
김정일,처,성혜림,여성,1937,,,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,처,성혜림,여성,1937,,,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,처,성혜림,여성,1937,,,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,처,성혜림,여성,1937,,,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,처,성혜림,여성,1937,,,사망,처: 김영숙(47년생)
김정일,처,성혜림,여성,1937,,,사망,친동생: 김경희(46년생)
김정일,처,김영숙,여성,1947,,,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,처,김영숙,여성,1947,,,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,처,김영숙,여성,1947,,,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,처,김영숙,여성,1947,,,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,처,김영숙,여성,1947,,,사망,처: 김영숙(47년생)
김정일,처,김영숙,여성,1947,,,사망,친동생: 김경희(46년생)
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,처: 김영숙(47년생)
김정일,자,김정남,남성,1971.05.10,기계공업성,상,사망,친동생: 김경희(46년생)
김정일,자,김설송,여성,1974,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김설송,여성,1974,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김설송,여성,1974,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김설송,여성,1974,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김설송,여성,1974,,,,처: 김영숙(47년생)
김정일,자,김설송,여성,1974,,,,친동생: 김경희(46년생)
김정일,자,김춘송,여성,1976,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김춘송,여성,1976,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김춘송,여성,1976,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김춘송,여성,1976,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김춘송,여성,1976,,,,처: 김영숙(47년생)
김정일,자,김춘송,여성,1976,,,,친동생: 김경희(46년생)
김정일,처,고영희,여성,1953,,,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,처,고영희,여성,1953,,,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,처,고영희,여성,1953,,,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,처,고영희,여성,1953,,,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,처,고영희,여성,1953,,,사망,처: 김영숙(47년생)
김정일,처,고영희,여성,1953,,,사망,친동생: 김경희(46년생)
김정일,자,김정철,남성,연도미상,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김정철,남성,연도미상,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김정철,남성,연도미상,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김정철,남성,연도미상,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김정철,남성,연도미상,,,,처: 김영숙(47년생)
김정일,자,김정철,남성,연도미상,,,,친동생: 김경희(46년생)
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,처: 김영숙(47년생)
김정일,자,김정은,남성,1984.01.08,조선노동당,총비서,,친동생: 김경희(46년생)
김정일,자,김여정,여성,연도미상,국무위원회,위원,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,자,김여정,여성,연도미상,국무위원회,위원,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,자,김여정,여성,연도미상,국무위원회,위원,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,자,김여정,여성,연도미상,국무위원회,위원,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,자,김여정,여성,연도미상,국무위원회,위원,,처: 김영숙(47년생)
김정일,자,김여정,여성,연도미상,국무위원회,위원,,친동생: 김경희(46년생)
김정일,매,김경희,여성,1946.05.30,,,,"설송(74년생, 여) / 김영숙(47년생)"
김정일,매,김경희,여성,1946.05.30,,,,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,매,김경희,여성,1946.05.30,,,,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,매,김경희,여성,1946.05.30,,,,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,매,김경희,여성,1946.05.30,,,,처: 김영숙(47년생)
김정일,매,김경희,여성,1946.05.30,,,,친동생: 김경희(46년생)
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,처: 김영숙(47년생)
김정일,매제,장성택,남성,1946.01.22,국무위원회,부위원장,사망,친동생: 김경희(46년생)
김정일,조카,장금송,여성,연도미상,,,사망,"설송(74년생, 여) / 김영숙(47년생)"
김정일,조카,장금송,여성,연도미상,,,사망,"이복동생: 김경진(52년생), 김평일(54년생), 김영일(55년생, ’00 사망)"
김정일,조카,장금송,여성,연도미상,,,사망,"자녀: 정남(71년생) / 성혜림(37년생, ’02.5 사망)"
김정일,조카,장금송,여성,연도미상,,,사망,"정철(81년생), 정은(84년생說), 여정(여, 87년생說)/ 고영희(53년생, ’04.8 사망)"
