LeaderID,Name,Sex,BirthYear,BirthCountry,BirthCP,BirthBCC,DeathReported,MOUID_2015,KoreanName_2015,Name_2022,NameAlternative_2022,BirthString_2015,BirthDateString_2022,BirthPlaceString_2022,DeathString_2015,DeathString_2022
김정관,김정관,남성,,,,,,,,김정관,,,연도미상,,,연도미상
김정기,김정기,남성,,,,,,672.0,김정기,김정기,,,1944년 07월 02일,,,연도미상
김정남,김정남,남성,,,,,,,,김정남,,,연도미상,,,연도미상
김정숙,김정숙,여성,1930.0,한반도,평남,대동군,,246.0,김정숙,김정숙,,1930년생 평남 대동군,1931년 01월 01일,평양시,,연도미상
김정순,김정순,여성,,,,,,,,김정순,,,연도미상,,,연도미상
김정식,김정식,남성,,,,,,,,김정식,,,연도미상,,,연도미상
김정은,김정은,남성,,,,,,496.0,김정은,김정은,,"1.8(연도미상, ’82?’83?’84년생 說이 있음)",1984년 01월 08일,,,연도미상
김정일,김정일,남성,1942.0,소련,하바로프스크,,(사망),231.0,김정일,김정일,,1942.2.16 소련 하바로프스크,1942년 02월 16일,북한지역외 소련 하바로프스크,"당 총비서, 국방위원회 위원장, 당 정치국 상무위원, 당 중앙군사위 위원장, 당 중앙위 위원, 인민군 최고사령관, 원수, 최고인민회의 제12기 대의원",2011년 12월 17일
김정임,김정임,여성,,,,,,247.0,김정임,김정임,,,1935년,,,연도미상
김정호,김정호,남성,1937.0,,,,,673.0,김정호,김정호,,1937.7.30,연도미상,,,연도미상
김조국,김조국,남성,,,,,,,,김조국,,,연도미상,,,연도미상
김중린,김중린,남성,1923.0,한반도,자강,우시군,(사망),436.0,김중린,김중린,,1923.12.7 자강도 우시군,1923년 12월 07일,자강도 우시군,"당 중앙위 비서(근로단체 담당), 당 중앙위원, 최고인민회의 제12기 대의원",2010년 04월 28일
김중협,김중협,남성,,,,,,675.0,김중협,김중협,,,1938년 01월 01일,함경남도,,연도미상
김지선,김지선,미상,,,,,,,,김지선,,,연도미상,,,연도미상
김진범,김진범,남성,1945.0,,,,,676.0,김진범,김진범,,1945.3.25,1945년 03월 25일,함경북도,,연도미상
김창광,김창광,미상,,,,,,,,김창광,,,연도미상,,,연도미상
김창남,김창남,미상,,,,,,,,김창남,,,연도미상,,,연도미상
김창도,김창도,미상,,,,,,,,김창도,,,연도미상,,,연도미상
김창룡,김창룡,남성,1944.0,,,,,678.0,김창룡,김창룡,김창용,1944년생,1944년 01월 01일,,,연도미상
김창민,김창민,미상,,,,,,,,김창민,,,연도미상,,,연도미상
김창선,김창선,남성,,,,,,,,김창선,,,연도미상,함경북도 명천군,,연도미상
김창섭,김창섭,남성,1946.0,한반도,평남,은산군,(사망),520.0,김창섭,김창섭,,1946.1.2 평남 은산군,1946년 01월 02일,평안남도 은산군,,연도미상
김창수,김창수,남성,1940.0,,,,,215.0,김창수,김창수,,1940년생,1940년 01월 01일,,,연도미상
김창식,김창식,남성,1939.0,,,,,353.0,김창식,김창식,,1939년생,연도미상,,,연도미상
김창엽,김창엽,남성,,,,,,,,김창엽,,,연도미상,,,연도미상
김천균,김천균,남성,,,,,,,,김천균,,,1960년 03월 17일,,,연도미상
김천길,김천길,미상,,,,,,,,김천길,,,연도미상,,,연도미상
김철,김철,남성,1951.0,,,,,503.0,김철,김철,,1951년생,1951년,,,연도미상
김철규,김철규,남성,,,,,,,,김철규,,,연도미상,,,연도미상
김철만,김철만,남성,1918.0,만주,,,(사망),114.0,김철만,김철만,,1918년생 만주,1920년 01월 01일,량강도,,2018년 12월 03일
김철삼,김철삼,미상,,,,,,,,김철삼,,,연도미상,,,연도미상
김철수,김철수,미상,,,,,,,,김철수,,,연도미상,,,연도미상
김춘섭,김춘섭,남성,,,,,,,,김춘섭,,,연도미상,,,연도미상
김충걸,김충걸,남성,,,,,,,,김충걸,,,연도미상,,,연도미상
김충성,김충성,남성,,,,,,,,김충성,,,연도미상,,,연도미상
김충일,김충일,남성,,,,,,,,김충일,,,연도미상,,,연도미상
김태봉,김태봉,남성,,,,,,418.0,김태봉,김태봉,,,연도미상,,,연도미상
김태종,김태종,남성,1947.0,,,,,460.0,김태종,김태종,,1947.12.12,1947년 12월 12일,,,연도미상
김평일,김평일,남성,1954.0,한반도,평양,,,112.0,김평일,김평일,,1954.8.10 평양,1954년 08월 10일,평양시,,연도미상
김평해,김평해,남성,1941.0,한반도,자강,전천군,,348.0,김평해,김평해,,1941.10.8 자강도 전천군,1941년 10월 08일,자강도 전천군,,연도미상
김풍기,김풍기,남성,1940.0,,,,,679.0,김풍기,김풍기,,1940.12.19,1940년 12월 19일,,,연도미상
김혁철,김혁철,미상,,,,,,,,김혁철,,,연도미상,,,연도미상
김현주,김현주,미상,,,,,,680.0,김현주,김현주,,,연도미상,,,연도미상
김형룡,김형룡,남성,,,,,,347.0,김형룡,김형룡,김형용,,연도미상,,,연도미상
김형식a,김형식,남성,1941.0,,,,,233.0,김형식,김형식,,1941.5.29,연도미상,,,연도미상
김형식b,김형식,남성,,,,,,,,김형식,,,연도미상,,,연도미상
김형준,김형준,남성,1949.0,,,,,234.0,김형준,김형준,,1949년생,1949년 11월 26일,함경북도,,연도미상
김호철,김호철,미상,,,,,,,,김호철,,,연도미상,,,연도미상
김희숙,김희숙,미상,,,,,,,,김희숙,,,연도미상,,,연도미상
김희영,김희영,남성,,,,,,265.0,김희영,김희영,,,연도미상,,,연도미상
김히택,김히택,남성,1935.0,,,,,461.0,김히택,김히택,,1935.4.20,1935년 04월 20일,평안남도,,연도미상
노광철,노광철,남성,,,,,,,,노광철,,,연도미상,,,연도미상
동정호,동정호,남성,1956.0,,,,,171.0,동정호,동정호,,1956년생,1956년 01월 01일,남포시,,연도미상
라동희,라동희,남성,1934.0,,,,,410.0,라동희,라동희,나동희,1934년생,1935년,,,연도미상
량만길,량만길,남성,1941.0,,,,,465.0,량만길,량만길,양만길,1941.4.16,1941년 04월 16일,평안남도,,연도미상
량원호,량원호,남성,,,,,,,,량원호,,,연도미상,,,연도미상
량정훈,량정훈,남성,,,,,,,,량정훈,,,연도미상,,,연도미상
려춘석,려춘석,남성,1930.0,한반도,평북,정주시,,420.0,려춘석,려춘석,여춘석,1930.7 평북 정주시,1930년 07월,평안북도 정주시,,연도미상
렴철성,렴철성,남성,,,,,,,,렴철성,,,연도미상,,,연도미상
렴철수,렴철수,남성,,,,,,,,렴철수,,,연도미상,,,연도미상
로두철,로두철,남성,1944.0,,,,,442.0,로두철,로두철,노두철,1944년생,1950년 01월 01일,함경남도,,연도미상
로배권,로배권,남성,1938.0,,,,,331.0,로배권,로배권,노배권,1938년생,연도미상,,,연도미상
로성실,로성실,여성,1960.0,,,,,457.0,로성실,로성실,노성실,1960년생,연도미상,황해북도,,연도미상
류미영,류미영,여성,1921.0,한반도,서울,,(사망),330.0,류미영,류미영,유미영,1921.1.7 서울,1921년 01월 07일,북한지역외 남한 서울,,2016년 11월 23일
류영선,류영선,남성,,,,,,,,류영선,유영선,,1941년,함경남도 정평군,,연도미상
류영섭,류영섭,남성,,,,,,192.0,류영섭,류영섭,유영섭,,1946년,평안북도,,연도미상
류현식,류현식,남성,,,,,,511.0,류현식,류현식,유현식,,연도미상,,,연도미상
리강선,리강선,여성,,,,,,,,리강선,,,연도미상,,,연도미상
리경식,리경식,남성,1948.0,,,,,708.0,리경식,리경식,이경식,1948.9,1948년 09월,평안남도,,연도미상
리경철,리경철,미상,,,,,,,,리경철,이경철,,연도미상,,,연도미상
리광곤,리광곤,남성,,,,,,193.0,리광곤,리광곤,이광곤,,연도미상,,,연도미상
리광근,리광근,남성,1953.0,한반도,평양,,,329.0,리광근,리광근,이광근,1953.12.14 평양,1954년,함경남도,,연도미상
리광철,리광철,남성,,,,,,,,리광철,,,연도미상,,,연도미상
리광호,리광호,남성,,,,,(사망),,,리광호,이광호,,1958년 09월 24일,,,2009년 06월 26일
리국철,리국철,남성,,,,,,,,리국철,,,연도미상,,,연도미상
리근,리근,남성,1946.0,,,,,710.0,리근,리근,이근,1946년생,1946년 07월 07일,함경남도,,연도미상
리길성,리길성,남성,,,,,,,,리길성,,,연도미상,,,연도미상
리길송,리길송,남성,1923.0,한반도,함남,,,712.0,리길송,리길송,이길송,1923년생 함남,1923년,함경남도,,연도미상
리길춘,리길춘,미상,1955.0,,,,,790.0,리길춘,리길춘,이길춘,1955년생,연도미상,,,연도미상
리동호,리동호,남성,1939.0,,,,,713.0,리동호,리동호,이동호,1939.5.8,1939년 05월 08일,함경남도,,연도미상
리두성,리두성,남성,,,,,,,,리두성,,,연도미상,,,연도미상
리득남,리득남,남성,,,,,,,,리득남,이득남,,연도미상,,,연도미상
리룡남,리룡남,남성,,,,,,379.0,리룡남,리룡남,이룡남,,1960년 08월 08일,평양시,,연도미상
리룡하,리룡하,미상,1947.0,,,,(사망),791.0,리룡하,리룡하,이룡하,1947년생,연도미상,함경북도,,2013년 11월
리만건,리만건,남성,,,,,,544.0,리만건,리만건,이만건,,1945년 01월 01일,평안남도,,연도미상
리명길,리명길,남성,,,,,,512.0,리명길,리명길,이명길,,1963년 01월 01일,,,연도미상
리명산,리명산,남성,,,,,,714.0,리명산,리명산,이명산,,연도미상,자강도,,연도미상
리명수,리명수,남성,1937.0,,,,,361.0,리명수,리명수,이명수,1937년생,1934년 02월 20일,함경북도 명천군,,연도미상
리무영,리무영,남성,1948.0,,,,,297.0,리무영,리무영,이무영,1948.4.8,1948년 04월 08일,남포시,,연도미상
리병삼,리병삼,남성,,,,,,298.0,리병삼,리병삼,이병삼,,1943년,평안남도,,연도미상
리병철,리병철,남성,,,,,,378.0,리병철,리병철,이병철,,1948년,,,연도미상
리봉죽,리봉죽,남성,,,,,,715.0,리봉죽,리봉죽,이봉죽,,1940년 01월 01일,,,연도미상
리상관,리상관,남성,,,,,,716.0,리상관,리상관,이상관,,연도미상,,,연도미상
리상원,리상원,남성,,,,,,,,리상원,이상원,,1951년,,,연도미상
리선권,리선권,남성,,,,,,,,리선권,,,연도미상,,,연도미상
리설주,리설주,여성,,,,,,,,리설주,이설주,,1989년,,,연도미상
리성국a,리성국,남성,,,,,(사망),,,리성국,,,연도미상,,,연도미상
리성국b,리성국,남성,,,,,,,,리성국,,,연도미상,,,연도미상
리성학,리성학,남성,,,,,,,,리성학,,,연도미상,,,연도미상
리성호,리성호,남성,,,,,,792.0,리성호,리성호,이성호,,1963년 06월 21일,량강도,,연도미상
리수용,리수용,남성,1935.0,,,,,717.0,리수용,리수용,이수용,1935년생,1935년,함경남도,,연도미상
리승호,리승호,남성,1948.0,,,,(사망),793.0,리승호,리승호,이승호,1948.5.17,연도미상,,,2014년 08월 10일
리영길,리영길,남성,,,,,,,,리영길,이영길,,1955년,,,연도미상
리영래,리영래,남성,,,,,,,,리영래,리영래,,연도미상,,,연도미상
리영수,리영수,남성,1946.0,,,,,501.0,리영수,리영수,이영수,1946년생,1949년,량강도,,연도미상
리영용,리영용,남성,,,,,,,,리영용,이영용,,1955년 02월 25일,,,연도미상
리영익,리영익,미상,,,,,,,,리영익,,,연도미상,,,연도미상
리영호,리영호,남성,1942.0,한반도,강원,통천군,,393.0,리영호,리영호,이영호,1942.10.5 강원도 통천군,1942년 10월 05일,강원도 통천군,,연도미상
리용무,리용무,남성,1925.0,한반도,평남,평성시,(사망),277.0,리용무,리용무,이용무,1925.1.25 평남 평성시,1925년 01월 25일,평안남도 평성시,,2022년 01월 27일
리용선,리용선,남성,1953.0,,,,,601.0,리용선,리용선,이용선,1953.9.13,1953년 09월 13일,,,연도미상
리용주,리용주,남성,,,,,,,,리용주,이용주,,연도미상,,,연도미상
리용철a,리용철,남성,,,,,(사망),384.0,리용철,리용철,이용철,,1929년 03월 24일,,,2010년 04월
리용철b,리용철,남성,,,,,,602.0,리용철,리용철,이용철,,1967년,평양시 보통강구역,,연도미상
리용호,리용호,남성,1956.0,,,,,513.0,리용호,리용호,이용호,1956년생,1956년 07월 10일,평양시,,연도미상
리원일,리원일,남성,,,,,,603.0,리원일,리원일,이원일,,1952년,,,연도미상
리을설,리을설,남성,1921.0,한반도,함북,청진시,(사망),258.0,리을설,리을설,이을설,1921년생 함북 청진시,1921년,함경북도 청진시,,2015년 11월 07일
리일환,리일환,남성,,,,,,,,리일환,이일환,,1960년,평양시,,연도미상
리자방,리자방,남성,,,,,,505.0,리자방,리자방,이자방,,연도미상,,,연도미상
리재남,리재남,남성,,,,,,,,리재남,,,연도미상,,,연도미상
리재일,리재일,남성,1935.0,,,,(사망),448.0,리재일,리재일,이재일,1935년생,1934년,평양시,,2021년 02월 04일
리정남,리정남,남성,,,,,,,,리정남,,,연도미상,,,연도미상
리제강,리제강,남성,,,,,(사망),245.0,리제강,리제강,이제강,,1930년,,,2010년 06월 02일
리제선,리제선,남성,1938.0,,,,,604.0,리제선,리제선,이제선,1938년생,1941년,함경북도,,연도미상
리종국,리종국,남성,,,,,,794.0,리종국,리종국,이종국,,1954년,강원도,,연도미상
리종무,리종무,남성,,,,,,,,리종무,이종무,,1949년 02월 16일,,,연도미상
리종산,리종산,남성,1922.0,중국,,,(사망),605.0,리종산,리종산,이종산,1922년생 중국,1922년,북한지역외 중국,"인민군 차수, 최고인민회의 제12기 대의원, 조선반제투사노병 위원회 위원장",2011년 07월
리종식,리종식,미상,,,,,,,,리종식,,,연도미상,,,연도미상
리종옥,리종옥,남성,,,,,(사망),408.0,리종옥,리종옥,이종옥,,1916년 01월 10일,함경북도 김책시,,1999년 09월 23일
리종혁,리종혁,남성,1936.0,한반도,강원,,,363.0,리종혁,리종혁,이종혁,1936.10.30 강원,1936년 10월 30일,강원도,,연도미상
리주오,리주오,남성,1956.0,,,,,606.0,리주오,리주오,이주오,1956년생,1956년,,,연도미상
리찬복,리찬복,남성,1935.0,한반도,평남,,,607.0,리찬복,리찬복,이찬복,"1935년생, 평안남도",1935년,,,연도미상
리철만,리철만,남성,,,,,,795.0,리철만,리철만,이철만,,1968년,,,연도미상
리철산,리철산,남성,,,,,,,,리철산,,,연도미상,,,연도미상
리철진,리철진,남성,,,,,,,,리철진,,,연도미상,,,연도미상
