LeaderID,CareerDateString,CareerString
강표영,2011.12,故 김정일 국가장의위원회 위원
강표영,2010.09,당 중앙위원회 위원
강표영,2010.01,제1군단장
강표영,2010.01,군 상장
강표영,1998.07,최고인민회의 제10기 대의원
강표영,1997.04,군 중장
강표영,1995.10,군 소장
강하국,2017,보건상 해임 * 후임: 장준상
강하국,2016.05,당 중앙위원회 후보위원
강하국,2014.03,최고인민회의 제13기 대의원
강하국,2013.04,보건상
강하국,2013.04,조선-중국친선협회 위원장
강하국,연도미상,보건성 부상
강형봉,2021.01,당 중앙위원회 후보위원
강형봉,2019.03,최고인민회의 제14기 대의원
강형봉,2016.05,당 중앙위원회 후보위원(유임)
강형봉,2014.03,최고인민회의 제13기 대의원
강형봉,2012.12,평안남도 인민위원회 위원장 전임: 안극태
강형봉,2011.12,故 김정일 국가장의위원회 위원
강형봉,2010.09,당 중앙위원회 후보위원
강형봉,2009.06,안주지구 탄광연합기업소 지배인
강형봉,2007,석탄공업성 부상
계명철,2021.01,당 중앙위원회 후보위원
계명철,2019.03,최고인민회의 제14기 대의원
계명철,연도미상,당 중앙검사위원회 위원
계명철,연도미상,평안북도농촌경리위원회 위원장
계영삼,2018.05,농업연구원 원장 해임 * 후임: 김광욱
계영삼,2017.06,농업연구원 원장
계영삼,2016.05,당 중앙검사위원회 위원
계영삼,2014.04,최고인민회의 예산위원회 위원(유임)
계영삼,2014.03,최고인민회의 제13기 대의원
계영삼,2011.12,故 김정일 국가장의위원회 위원
계영삼,2010.09,당 중앙검사위원회 위원
계영삼,2009.04,최고인민회의 예산위원회 위원(유임)
계영삼,2009.03,최고인민회의 제12기 대의원
계영삼,2003.09,최고인민회의 예산위원회 위원
계영삼,2003.08,최고인민회의 제11기 대의원
계영삼,2002.11,조선-태국 친선의원단 부위원장
계영삼,2002,과학원 농업과학원 원장
계영삼,1998.09,최고인민회의 제10기 대의원
계영삼,1997,과학원 농업과학연구원 원장
계응태,2006.11,사망
계응태,2003.08,최고인민회의 제11기 대의원
계응태,1998.09,최고인민회의 제10기 대의원
계응태,1995.02,故 오진우 국가장의위원회 위원
계응태,1994.07,故 김일성 국가장의위원회 위원
계응태,1992.04,"최고인민회의 법제위원장, 김일성훈장 수훈"
계응태,1990.05,최고인민회의 법안심의위원장
계응태,1990.04,최고인민회의 제9기 대의원
계응태,1990.02,중앙선거위원회 위원장
계응태,1988.03,당 정치국 위원(보선)
계응태,1986.12,최고인민회의 법안심의위원장
계응태,1986.11,최고인민회의 제8기 대의원
계응태,1986.02,당 비서국 비서(공안담당)
계응태,1985.08,평안남도 행정경제지도위원장
계응태,1983.08,평안남도 당 위원회 책임비서(보선)
계응태,1982.04,"정무원 부총리, 김일성훈장 수훈"
계응태,1982.02,최고인민회의 제7기 대의원
계응태,1981.10,당 정치국 후보위원 강등
계응태,1981.05,정무원 경공업위원장
계응태,1980.10,당 중앙위원회 위원 겸 정치국 위원
계응태,1977.12,"당 정치국 위원, 중앙인민위원회 위원"
계응태,1977.11,최고인민회의 제6기 대의원
계응태,1977.01,"당 정치국 후보위원, 정무원 부총리 겸 무역부장"
계응태,1976.12,정무원 부총리
계응태,1973.05,조선-칠레 친선협회 위원장
계응태,1972.12,"최고인민회의 제5기 대의원, 정무원 무역부장"
계응태,1970.11,당 중앙위원회 위원
계응태,1967.12,무역상
계응태,1967.11,최고인민회의 제4기 대의원
계응태,1967.04,국제무역촉진위원회 위원장
계응태,1962.02,무역성 부상
계응태,1961.12,국제무역촉진위원회 부위원장
계응태,1960.02,외무성 부상
계응태,1957.08,최고인민회의 제2기 대의원
계응태,1957.05,당 국제부 부부장
계응태,1948,소련고급당학교
계응태,연도미상,남만주대학
고길선,2021.01,당 중앙위원회 위원
고길선,2020.04,최고인민회의 상임위원회 서기장
고길선,2019.03,최고인민회의 제14기 대의원
고길선,2017.09,원유공업상 겸 교예체조협회 위원장 * 전임: 배학
고길선,2016.05,당 중앙위원회 후보위원
고길선,연도미상,원유공업성 부상
고인호,2020.01,故 황순희 국가장의위원회 위원
고인호,2019.04,내각 부총리 겸 농업상(유임)
고인호,2019.03,최고인민회의 제14기 대의원
고인호,2018.12,故 김철만 국가장의위원회 위원
고인호,2018.08,故 김영춘 국가장의위원회 위원
고인호,2017.10,당 중앙위원회 위원
고인호,2016.06,내각 부총리 겸 농업상 * 전임: 리철만
고인호,2009.03,최고인민회의 제12기 대의원
고인호,2003.08,최고인민회의 제11기 대의원
고인호,2003,평양시 농촌경리위원회 위원장
고인호,1998,만경대구역 국영농장 지배인
고인호,1997,만경대구역 당 조직대표
고정범,2021.01,재정성 상
고정범,2021.01,당 중앙위원회 후보위원
고종덕,2010.09,강원도 인민위원회 위원장(해임) *후임 : 원도희
고종덕,2009.04,최고인민회의 제 12기 대의원
고종덕,2004.04,<김일성 훈장> 수훈
고종덕,2003.09,최고인민회의 제 11기 대의원
고종덕,1999.01,강원도 인민위원회 위원장
고종덕,1998.09,최고인민회의 제 10기 대의원
고종덕,1997.09,강원도 행정경제위원회 위원장
고종덕,1990.04,최고인민회의 제 9기 대의원
고종덕,1985.08,함경남도 함흥시 행정경제위원회 위원장
곽범기,2016.05,"당 정치국 위원, 당 중앙위원회 부위원장, 당 중앙위원회 위원"
곽범기,2015.12,故 김양건 국가장의위원회 위원
곽범기,2015.04,당 정치국 위원
곽범기,2014.07,故 전병호 국가장의위원회 위원
곽범기,2014.03,최고인민회의 제13기 대의원
곽범기,2012.11,국가체육지도위원회 위원
곽범기,2012.09,최고인민회의 예산위원회 위원장
곽범기,2012.04,"당 중앙위원회 비서 겸 부장, 당 정치국 후보위원"
곽범기,2012.04,함경남도 당 위원회 책임비서 해임 * 후임: 태종수
곽범기,2012.02,김정일훈장 수훈
곽범기,2011.12,故 김정일 국가장의위원회 위원
곽범기,2010.09,당 중앙위원회 위원
곽범기,2010.06,함경남도 당 위원회 책임비서 * 전임: 태종수
곽범기,2010.06,내각 부총리·국가학위학직수여위원회 위원장 해임
곽범기,2010.04,故 김중린 국가장의위원회 위원
곽범기,2009.04,내각 부총리(유임)
곽범기,2009.04,故 홍성남 국가장의위원회 위원
곽범기,2009.03,최고인민회의 제12기 대의원
곽범기,2003.09,내각 부총리(유임)
곽범기,2003.08,최고인민회의 제11기 대의원
곽범기,2003.08,국가학위학직수여위원회 위원장
곽범기,2003.02,조선김일성화·김정일화연맹 위원장
곽범기,1998.09,내각 부총리
곽범기,1998.07,최고인민회의 제10기 대의원
곽범기,1994.07,故 김일성 국가장의위원회 위원
곽범기,1993.12,당 중앙위원회 후보위원
곽범기,1993.02,정무원 기계공업부장
곽범기,1991.01,정무원 기계공업부 제1부부장
곽범기,1983.02,희천기계공장 분공장 지배인
곽범기,연도미상,희천공업대학 졸업
곽창식,2021.01,당 중앙위원회 위원
곽창식,2019.12,"당 중앙위원회 위원, 군 상장"
곽창식,2019.04,군 호위사령부 사령관 * 전임: 윤정린
곽창식,2019.04,당 중앙위원회 후보위원
곽창식,2019.03,최고인민회의 제14기 대의원
구본태,2014.06,대외경제성 부상(조직개편)
구본태,2009.10,중국 상하이 세계박람회 준비위원회 전구총대표
구본태,2000.03,조선국제합영총회사 부이사장
구본태,1998.09,무역성 부상
구본태,1995.12,국제무역촉진위원회 부위원장
구본태,1992.12,대외경제위원회 부위원장
구본태,1987.09,무역부 부부장
구본태,1983.04,조선창광무역회사 부사장
구본태,1971.11,사회주의노동청년동맹 중앙위원회 평양시 지도원
구본태,연도미상,"김일성종합대학, 인민경제대학 졸업"
궁석웅,2005.04,김일성훈장 수훈
궁석웅,1998.08 ~ 2016.08,외무성 부상
궁석웅,1996.03,외교부 10국장
궁석웅,1991.03,요르단 주재 대사
궁석웅,1990.02,외교부 부국장
궁석웅,1978.02,싱가포르 대사관 2등 서기관
궁석웅,연도미상,"평양외국어대학, 평양국제관계대학 졸업"
권성호,2019.04,당 중앙위원회 위원
권성호,2019.04,국가건설감독상(유임)
권성호,2019.03,최고인민회의 제14기 대의원
권성호,2016.05,당 중앙위원회 후보위원
권성호,2014.03,최고인민회의 제13기 대의원
권성호,2013.05,국가건설감독상
권성호,2004.12,국가건설감독성 건설설계정보센터 기사장
권영진,2021.01,당 중앙위원회 의원
권영진,2021.01,당 중앙군사위원회 위원
권영진,2021.01,당 정치국 의원
권영진,2020.06,당 중앙위원회 의원
권영진,2020.05,군 상장
권영진,2018.08,故 김영춘 국가장의위원회 위원
권영진,연도미상,군 정치국장
권영진,연도미상,군 대장
권춘학,2006.06,황해남도 인민위원회 위원장(해임) *후임 : 오응창
권춘학,2003.09,최고인민회의 제 11기 대의원
권춘학,1999.06,황해남도 인민위원회 위원장
권춘학,1999.01,개성시 인민위원회 부위원장
권혁봉,2018.01,문화성 예술공연운영국 국장
권혁봉,2018.01,북측 예술단 파견 관련 남북 실무접촉 북측 수석대표
권혁봉,2012.03,조선민족음악연구학회 고문
권혁봉,2011.12,故 김정일 국가장의위원회 위원
권혁봉,2011.09,조선예술교류협회 고문
권혁봉,2011.07,김일성훈장 수훈
권혁봉,2011,조선예술교류협회 고문
권혁봉,2010.09,당 중앙위원회 후보위원
권혁봉,2009.03,최고인민회의 제12기 대의원
권혁봉,2005.06,당 선전선동부 부부장
권혁봉,1989.01,정무원 문화예술부 부부장
권혁봉,1987.03,평양영화축전 조직위원회 서기장
권혁봉,1983.03,정무원 문화예술부 영화총국 총국장
권혁봉,연도미상,김일성종합대학 졸업
권호웅,2006.03,6.15공동선언실천 북측위원회 부위원장
권호웅,2004.05 ~ 2007.06,제14-21차 남북 장관급회담 북측단장
권호웅,2004.05,내각 책임참사
권호웅,2004.04,조국평화통일위원회 사무국장
권호웅,2003.06,해외동포위원회 국장
권호웅,2000.07,내각 참사
권호웅,2000.04,남북 정상회담 개최를 위한 준비접촉 대표(판문점)
권호웅,1999.06,남북 차관급 당국회담 대표(베이징)
권호웅,1998.07,아시아태평양평화위원회 북경지부 참사
권호웅,1995.04,김일성종합대학 학생위원회 대표
권희경,1998.07,최고인민회의 제10기 대의원 탈락
권희경,1995.02,故 오진우 국가장의위원회 위원
권희경,1994.07,故 김일성 국가장의위원회 위원
권희경,1992.04,김일성훈장 수훈
권희경,1990.07,당 대외정보조사부장
권희경,1990.04,최고인민회의 제9기 대의원
권희경,1989.12,소련 주재 대사 해임
권희경,1988.03,당 중앙위원회 위원(보선)
권희경,1986.11,최고인민회의 제8기 대의원
권희경,1982.04,김일성훈장 수훈
권희경,1982.02,최고인민회의 제7기 대의원
권희경,1980.10,당 중앙위원회 후보위원
권희경,1980.04,소련 주재 대사
권희경,1977,당 국제부 부부장
권희경,1976.07,소련 주재 대사 해임
권희경,1974.09,제61차 국제의원연맹(IPU)총회 대표
권희경,1973.10,제28차 유엔총회 대표단 대표
권희경,1973.06,스웨덴 주재 대사 겸임
권희경,1972.12,최고인민회의 제5기 대의원
권희경,1972.01,소련 주재 대사
권희경,1965,외무성 부상
권희경,1953,당 중앙위원회 근무
권희경,연도미상,김일성종합대학
권희경,연도미상,당 중앙위원회 정위원 해임
권희경,연도미상,사망
기광호,2019.04,재정상(유임)
기광호,2019.03,최고인민회의 제14기 대의원
기광호,2016.05,당 중앙위원회 후보위원
기광호,2015.02,재정상
기광호,2015.02,조선빙상피겨협회 위원장 * 전임: 최광진
기광호,2011.05,재정성 부상
기광호,연도미상,재정성 대외재정국 국장
김격식,2015.05,사망
김격식,2014.03,최고인민회의 제13기 대의원
김격식,2013.04,국방위원회 위원
김격식,2013.03,당 정치국 후보위원
김격식,2012.10,"군 대장, 인민무력부장 * 전임: 김정각"
김격식,2010.09,당 중앙위원회 후보위원
김격식,2009.02,군 총참모장 해임 * 후임: 리영호
김격식,2009.02,군 4군단장
김격식,2007.04,군 총참모장 * 전임: 김영춘
