460;김태종;1947.12.12;NULL;1947;NULL;NULL;
461;김히택;1935.4.20;NULL;1935;NULL;NULL;
462;우동측;1942.8.8 평남 평원군;NULL;1942;한반도;평남;평원군
463;원동연;1947년생;NULL;1947;NULL;NULL;
464;안경호;1930.1.18 강원;NULL;1930;한반도;강원;
465;량만길;1941.4.16;NULL;1941;NULL;NULL;
481;태형철;1953년생;NULL;1953;NULL;NULL;
484;김일본;1910.3.20 함북;국가부주석, 당 중앙위 정치국 상무위원, 중앙인민위 위원,  ?조평통? 위원장, 당 중앙위원, 최고인민회의 제7기 대의원;1910;한반도;함북;
492;연형묵;NULL;NULL;NULL;NULL;NULL;NULL
495;김경옥;NULL;NULL;NULL;NULL;NULL;NULL
496;김정은;1.8(연도미상, ’82?’83?’84년생 說이 있음);NULL;NULL;NULL;NULL;
498;문경덕;1957.10.12 평양;NULL;1957;한반도;평양;
499;박정순;1928.7.1 평남 평원;NULL;1928;한반도;평남;평원
500;전일춘;NULL;NULL;NULL;NULL;NULL;NULL
501;리영수;1946년생;NULL;1946;NULL;NULL;
502;오일정;1944년생;NULL;1944;NULL;NULL;
503;김철;1951년생;NULL;1951;NULL;NULL;
504;안정수;1951년생;NULL;1951;NULL;NULL;
505;리자방;NULL;NULL;NULL;NULL;NULL;NULL
506;장철;1955년생;NULL;1955;NULL;NULL;
507;박태덕;1955년생;NULL;1955;NULL;NULL;
508;백계룡;1945년생;NULL;1945;NULL;NULL;
509;조영철;NULL;NULL;NULL;NULL;NULL;NULL
511;류현식;NULL;NULL;NULL;NULL;NULL;NULL
512;리명길;NULL;NULL;NULL;NULL;NULL;NULL
513;리용호;1956년생;NULL;1956;NULL;NULL;
514;장병규;NULL;NULL;NULL;NULL;NULL;NULL
515;한광상;NULL;NULL;NULL;NULL;NULL;NULL
516;한흥표;1948년생;NULL;1948;NULL;NULL;
517;현상주;NULL;NULL;NULL;NULL;NULL;NULL
518;홍인범;NULL;NULL;NULL;NULL;NULL;NULL
519;이철리;NULL;NULL;NULL;NULL;NULL;NULL
520;김창섭;1946.1.2 평남 은산군;NULL;1946;한반도;평남;은산군
521;홍창일;1947.5.12;NULL;1947;NULL;NULL;
522;권중영;NULL;NULL;NULL;NULL;NULL;NULL
541;강영호;1948년생;NULL;1948;NULL;NULL;
542;강련학;1932년생;NULL;1932;NULL;NULL;
543;백용호;1945년생;NULL;1945;NULL;NULL;
544;리만건;NULL;NULL;NULL;NULL;NULL;NULL
545;주영식;1942년생;NULL;1942;NULL;NULL;
546;최경성;NULL;NULL;NULL;NULL;NULL;NULL
547;최상려;NULL;NULL;NULL;NULL;NULL;NULL
561;지재룡;1942.5.10 함남;NULL;1942;한반도;함남;
601;리용선;1953.9.13;NULL;1953;NULL;NULL;
602;리용철;NULL;NULL;NULL;NULL;NULL;NULL
603;리원일;NULL;NULL;NULL;NULL;NULL;NULL
604;리제선;1938년생;NULL;1938;NULL;NULL;
605;리종산;1922년생 중국;인민군 차수, 최고인민회의 제12기 대의원, 조선반제투사노병 위원회 위원장;1922;중국;NULL;
606;리주오;1956년생;NULL;1956;NULL;NULL;
607;리찬복;1935년생, 평안남도;NULL;1935;한반도;평남;
608;림경숙;NULL;NULL;NULL;NULL;NULL;NULL
609;자성남;1954.3;NULL;1954;NULL;NULL;
610;장우영;1954년생;NULL;1954;NULL;NULL;
611;장웅;1938.7.5 평양;NULL;1938;한반도;평양;
612;장윤곤;1956.12.10 평양 동대원구역;NULL;1956;한반도;평양;동대원구
613;장혜명;1958년 양강도;NULL;1958;한반도;양강;
614;전승훈;1951년생;NULL;1951;NULL;NULL;
615;전영진;1937.2.11  함남;NULL;1937;한반도;함남;
616;전재선;1940년생;NULL;1940;NULL;NULL;
617;전종수;1963.9.20;NULL;1963;NULL;NULL;
618;정덕기;NULL;NULL;NULL;NULL;NULL;NULL
619;정명학;NULL;NULL;NULL;NULL;NULL;NULL
620;정연과;NULL;NULL;NULL;NULL;NULL;NULL
621;정태양;1954.11.2;NULL;1954;NULL;NULL;
622;정하철;1933.5.25 평남 용강;NULL;1933;한반도;평남;용강
623;정호균;NULL;NULL;NULL;NULL;NULL;NULL
624;조현주;1961년생;NULL;1961;NULL;NULL;
625;조혜숙;NULL;NULL;NULL;NULL;NULL;NULL
626;주동일;1947년생;NULL;1947;NULL;NULL;
627;주동찬;1947년생(1954년說);NULL;1947;NULL;NULL;
628;주진구;NULL;NULL;NULL;NULL;NULL;NULL
629;차선모;1950년생;NULL;1950;NULL;NULL;
630;차승수;1940년생 자강도 화평군;NULL;1940;한반도;자강;화평군
631;최남균;NULL;NULL;NULL;NULL;NULL;NULL
632;최배진;NULL;NULL;NULL;NULL;NULL;NULL
633;최수헌;1939.10.7 평양;NULL;1939;한반도;평양;
634;최영건;1951.12.11 강원도 천내군;NULL;1951;한반도;강원;천내군
635;최룡수;1936년생;NULL;1936;NULL;NULL;
636;최칠남;1929.7.19;NULL;1929;NULL;NULL;
637;한봉춘;1942년생;NULL;1942;NULL;NULL;
638;한성렬;1954.6.17 평북 대관;NULL;1954;한반도;평북;대관
639;허종;1946.3.6;NULL;1946;NULL;NULL;
640;현영철;NULL;NULL;NULL;NULL;NULL;NULL
641;홍일천;1942년생 함경도;NULL;1942;한반도;함경;
642;황봉영;1944.8.15 강원 철원;NULL;1944;한반도;강원;철원군
643;강양모;NULL;NULL;NULL;NULL;NULL;NULL
644;고종덕;NULL;NULL;NULL;NULL;NULL;NULL
645;구본태;1946.2.7 일본;NULL;1946;일본;NULL;
646;권춘학;NULL;NULL;NULL;NULL;NULL;NULL
647;권호웅;1959년생;NULL;1959;NULL;NULL;
648;김경호;1958.12.11;NULL;1958;NULL;NULL;
649;김경호;NULL;NULL;NULL;NULL;NULL;NULL
650;김광린;1949.12.13;NULL;1949;NULL;NULL;
651;김동운;1935.11.1 양강도;NULL;1935;한반도;양강;
652;김만길;1962년생;NULL;1962;NULL;NULL;
653;김명길;1959.3.14 자강도 만포시;NULL;1959;한반도;자강;만포시
654;김병훈;1929.11.14 평양;NULL;1929;한반도;평양;
655;김복신;1925년생 평북 신의주시;NULL;1925;한반도;평북;신의주시
656;김상록;1939년생;NULL;1939;NULL;NULL;
657;김성국;1930년생;NULL;1930;NULL;NULL;
658;김수학;1942.9.11;NULL;1942;NULL;NULL;
659;김승현;1947년생;NULL;1947;NULL;NULL;
660;김시학;1932.8.22 평양;NULL;1932;한반도;평양;
661;김양근;NULL;NULL;NULL;NULL;NULL;NULL
662;김양점;1944년생;NULL;1944;NULL;NULL;
663;김령성;1943년생;NULL;1943;NULL;NULL;
664;김영숙;1942.8.28 평남;NULL;1942;한반도;평남;
666;김완수;1940년생;NULL;1940;NULL;NULL;
667;김용삼;1941.9.5;NULL;1941;NULL;NULL;
668;김용술;1937.8.26;NULL;1937;NULL;NULL;
669;김유호;1940.12.1;NULL;1940;NULL;NULL;
670;김윤심;NULL;NULL;NULL;NULL;NULL;NULL
671;김인호;NULL;NULL;NULL;NULL;NULL;NULL
672;김정기;NULL;NULL;NULL;NULL;NULL;NULL
673;김정호;1937.7.30;NULL;1937;NULL;NULL;
674;김종태;1948.6.3;NULL;1948;NULL;NULL;
675;김중협;NULL;NULL;NULL;NULL;NULL;NULL
676;김진범;1945.3.25;NULL;1945;NULL;NULL;
677;김진성;1942년생;NULL;1942;NULL;NULL;
678;김창룡;1944년생;NULL;1944;NULL;NULL;
679;김풍기;1940.12.19;NULL;1940;NULL;NULL;
680;김현주;NULL;NULL;NULL;NULL;NULL;NULL
681;문재덕;1945.7.4 평양;NULL;1945;한반도;평양;
682;박경삼;NULL;NULL;NULL;NULL;NULL;NULL
683;박경철;1959년생;NULL;1959;NULL;NULL;
684;박남칠;1958년생;NULL;1958;NULL;NULL;
685;박동춘;1942.5.28;NULL;1942;NULL;NULL;
686;박명국;1954년생;NULL;1954;NULL;NULL;
687;박송남;NULL;NULL;NULL;NULL;NULL;NULL
688;박순희;1955.12.24;NULL;1955;NULL;NULL;
689;박용일;1966년생;NULL;1966;NULL;NULL;
690;박정성;1944.11.9;NULL;1944;NULL;NULL;
691;박진식;1948년생;NULL;1948;NULL;NULL;
692;박창련;1935년생;NULL;1935;NULL;NULL;
693;박학선;1954년생;NULL;1954;NULL;NULL;
694;박호영;1953년생;NULL;1953;NULL;NULL;
695;방강수;1958.9.24;NULL;1958;NULL;NULL;
696;방종삼;1942년생;NULL;1942;NULL;NULL;
697;방철갑;1936년생;NULL;1936;NULL;NULL;
698;백룡천;1962년생;NULL;1962;NULL;NULL;
699;백현봉;1954년생;NULL;1954;NULL;NULL;
700;석군수;1956년생;NULL;1956;NULL;NULL;
701;송석환;1936.9.16 평양;NULL;1936;한반도;평양;
702;송일호;1954.4.4 평양;NULL;1954;한반도;평양;
703;신병철;1945년생;NULL;1945;NULL;NULL;
704;신일남;1938년생 평북;NULL;1938;한반도;평북;
705;오광철;1959.6.15;NULL;1959;NULL;NULL;
706;오길방;1936년생;NULL;1936;NULL;NULL;
707;우두태;1940년생, 강원 고성;NULL;1940;한반도;강원;고성
708;리경식;1948.9;NULL;1948;NULL;NULL;
709;이공필;NULL;NULL;NULL;NULL;NULL;NULL
710;리근;1946년생;NULL;1946;NULL;NULL;
711;이금범;1941.1.3;NULL;1941;NULL;NULL;
712;리길송;1923년생 함남;NULL;1923;한반도;함남;
713;리동호;1939.5.8;NULL;1939;NULL;NULL;
714;리명산;NULL;NULL;NULL;NULL;NULL;NULL
715;리봉죽;NULL;NULL;NULL;NULL;NULL;NULL
716;리상관;NULL;NULL;NULL;NULL;NULL;NULL
717;리수용;1935년생;NULL;1935;NULL;NULL;
741;조정호;NULL;NULL;NULL;NULL;NULL;NULL
761;김석준;1961년생;NULL;1961;NULL;NULL;
781;강종관;NULL;NULL;NULL;NULL;NULL;NULL
782;강지영;1956년생;NULL;1956;NULL;NULL;
783;권혁봉;1944년생;NULL;1944;NULL;NULL;
784;김덕훈;1961년생;NULL;1961;NULL;NULL;
785;김만수;1956. 9. 14;NULL;1956;NULL;NULL;
786;김성기;NULL;NULL;NULL;NULL;NULL;NULL
787;김성남;1953년생;NULL;1953;NULL;NULL;
788;김승두;1958. 3. 1;NULL;1958;NULL;NULL;
789;김인식;1948.;NULL;NULL;NULL;NULL;NULL
790;리길춘;1955년생;NULL;1955;NULL;NULL;
791;리룡하;1947년생;NULL;1947;NULL;NULL;
792;리성호;NULL;NULL;NULL;NULL;NULL;NULL
793;리승호;1948.5.17;NULL;1948;NULL;NULL;
794;리종국;NULL;NULL;NULL;NULL;NULL;NULL
795;리철만;NULL;NULL;NULL;NULL;NULL;NULL
796;리태철;1947년생;NULL;1947;NULL;NULL;
797;림남수;1948년생;NULL;1948;NULL;NULL;
798;변인선;1946년생;NULL;1946;NULL;NULL;
799;심철호;NULL;NULL;NULL;NULL;NULL;NULL
800;원도희;1949년생;NULL;1949;NULL;NULL;
801;전경남;NULL;NULL;NULL;NULL;NULL;NULL
802;전용남;NULL;NULL;NULL;NULL;NULL;NULL
803;전창복;NULL;NULL;NULL;NULL;NULL;NULL
804;조연준;1937.9.28  함경남도 고원군;NULL;1937;한반도;함남;고원군
805;최광래;1944년생;NULL;1944;NULL;NULL;
806;최광진;NULL;NULL;NULL;NULL;NULL;NULL
807;강관주;1930.7.5 평남 대동군;NULL;1930;한반도;평남;대동군
