624;조현주;NULL;민족경제협력위원회 국장, 민족경제협력연합회 서기장, 조국평화통일위원회 서기국 부장
625;조혜숙;NULL;최고인민회의 제12기 대의원 겸 예산위원회 위원
626;주동일;NULL;前 전기석탄공업상
627;주동찬;NULL;前 중앙특구개발지도총국 총국장
628;주진구;NULL;민족화해협의회 부회장, 최고인민회의 제12기 대의원
629;차선모;NULL;육해운성 참모장
630;차승수;NULL;조선중앙방송위원회 위원장, 당 중앙위 위원, 최고인민회의 제12기 대의원
631;최남균;NULL;前 수매양정상
632;최배진;NULL;국가계획위원회 부위원장, 조선국제합영총회사 이사, 당 중앙검사위원회 위원
633;최수헌;NULL;시리아?레바논?요르단 주재 대사(겸임)
634;최영건;NULL;건설건재공업성 부상
635;최룡수;NULL;인민군 상장, 前 인민보안상
636;최칠남;NULL;조선기자동맹 위원장, 최고인민회의 제12기 대의원
637;한봉춘;NULL;내각사무국 참사
638;한성렬;NULL;유엔 주재 북한대표부 차석대사
639;허종;NULL;쿠웨이트?카타르?바레인?아랍에미리트 주재 대사
640;현영철;NULL;인민군 상장, 당 중앙위 위원, 최고인민회의 제12기 대의원
641;홍일천;NULL;김형직사범대학 학장, 조국통일범민족연합 북측본부 중앙위원
642;황봉영;NULL;조선올림픽위원회 부위원장, 조선무술연맹 위원장, 최고인민회의 제12기 대의원
643;강양모;NULL;남포시 당위원회 책임비서, 당 중앙위 위원
644;고종덕;NULL;최고인민회의 제12기 대의원, 前 강원도 인민위원회 위원장
645;구본태;NULL;무역성 부상
646;권춘학;NULL;前 황해남도 인민위원회 위원장
647;권호웅;NULL;前 내각 책임참사
648;김경호;NULL;조선태권도위원회 위원장, 국제태권도연맹 부총재
649;김경호;NULL;최고인민회의 제12기 대의원, 前 양강도 당위원회 책임비서
650;김광린;NULL;최고인민회의 제12기 대의원, 前 국가계획위원회 위원장
651;김동운;NULL;前 당 39호실 실장
652;김만길;NULL;조국평화통일위원회 서기국 부국장
653;김명길;NULL;前 유엔주재 북한대표부 공사
655;김복신;NULL;내각사무국 명예참사
656;김상록;NULL;前 국제문제연구소 소장
657;김성국;NULL;前 조선기자동맹 중앙위 위원장
658;김수학;NULL;前 보건상
659;김승현;NULL;前 금속공업상
660;김시학;NULL;최고인민회의 제12기 대의원 겸 대의원자격심사위원회 위원
661;김양근;NULL;김정숙해군대학 학장, 인민군 중장
662;김양점;NULL;인민군 상장, 최고인민회의 제12기 대의원
663;김령성;NULL;조국평화통일위원회 서기국 제1부국장, 조국통일범민족연합 북측본부 부의장
664;김영숙;NULL;농업성 부상
666;김완수;NULL;최고인민회의 제12기 대의원, 북-폴란드 친선협회 위원장, 前 재정상
667;김용삼;NULL;前 철도상
668;김용술;NULL;前 무역성 부상
