MOUID,KoreanName,CareerStringID,CareerString,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
427,김격식,2081,"2007. 4 인민군 총참모장  *전임 : 김영춘",2007,4,1,NULL,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
427,김격식,2088,"2013. 5 인민군 총참모장",2013,5,1,NULL,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
432,김영춘,2125,"1994. 3 인민군 6군단장",1994,3,1,NULL,"인민군 총참모부",6군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_6군단_NA_NA_군단장"
432,김영춘,2126,"1995.10 인민군 차수, 인민군 총참모장",1995,10,1,Joint,"인민군 총참모부",NA,NA,NA,NA,총참모장,1,1,"인민군 총참모부_NA_NA_NA_총참모장"
435,정명도,2159,"2007.12 인민군 해군사령부 사령관, 인민군 상장",2007,12,1,Joint,"인민군 총참모부",해군사령부,NA,NA,NA,사령관,2,1,"인민군 총참모부_해군사령부_NA_NA_사령관"
452,박재경,2264,"1989. 인민군 4군단 정치위원",1989,NULL,1,NULL,"인민군 총참모부",4군단,NA,NA,NA,정치위원,2,3,"인민군 총참모부_4군단_NA_NA_정치위원"
453,김명국,2274,"1994. 7 인민군 총참모부 부총참모장 겸 작전국장",1994,7,1,Joint,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
453,김명국,2276,"1997. 9 인민군 5군단장",1997,9,1,NULL,"인민군 총참모부",5군단,NA,NA,NA,군단장,2,1,"인민군 총참모부_5군단_NA_NA_군단장"
605,리종산,2626,"1965. 7 인민군 제2집단군 참모장",1965,7,1,NULL,"인민군 총참모부",2집단군사령부,NA,NA,NA,참모장,2,3,"인민군 총참모부_2집단군사령부_NA_NA_참모장"
616,전재선,2730,"1981. 8 인민군 총참모부 부총참모장, 인민군 소장",1981,8,1,Joint,"인민군 총참모부",NA,NA,NA,NA,부총참모장,1,2,"인민군 총참모부_NA_NA_NA_부총참모장"
