LeaderID,CareerDateString_2022,CareerString_2022,MOUID_2015,Name,CareerStringID_2015,CareerString_2015,CareerStartYear,CareerStartMonth,EventType,JointAppointment,Org1,Org2,Org3,Org4,Org5,Position,OrgLevel,PositionLevel,OrgPositionString
강능수,2010.02,당 영화부장,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2010.02,국가영화위원회 위원장,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2010.01,문화상 해임 * 후임: 안동춘,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2009.04,문화상(유임),430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2009.03,최고인민회의 제12기 대의원,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2008.04,최고인민회의 부의장 해임,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2006.06,문화상(재임) * 전임: 김진성,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2006.03,6.15공동선언실천 북측 위원회 부위원장,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2004.02,김일성화·김정일화위원회 위원장,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2003.09,문화상 해임 * 후임: 최익규,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2003.09,최고인민회의 부의장,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
강능수,2003.08,최고인민회의 제11기 대의원,430,강능수,연도미상김일성종합대학 조선어문학부 졸업,,김일성종합대학교,대학교,북한,year_김일성종합대학교_대학교_북한,,,,,,,,,
