LeaderID,EducationDateString_2022,EducationSchoolString_2022,EducationMajorString_2022,EducationGraduationStatus_2022,MOUID_2015,Name_2015,EducationString_2015,SchoolYear_2015,SchoolName_2015,SchoolLevel_2015,SchoolRegion_2015,SchoolStringConcat_2015
김용진,연도미상,김형직사범대학,,미상,380,김용진,연도미상 김형직사범대학 졸업,,김형직사범대학교,대학교,북한,year_김형직사범대학교_대학교_북한
김원균,연도미상,소련유학,,미상,302,김원균,"연도미상 일본음악학교, 소련유학",,,,러시아,year_name_level_러시아
김원균,연도미상,소련유학,,미상,302,김원균,"연도미상 일본음악학교, 소련유학",,,,일본,year_name_level_일본
김원균,연도미상,일본음악학교,,미상,302,김원균,"연도미상 일본음악학교, 소련유학",,,,러시아,year_name_level_러시아
김원균,연도미상,일본음악학교,,미상,302,김원균,"연도미상 일본음악학교, 소련유학",,,,일본,year_name_level_일본
김원홍,연도미상,김일성군사종합대학,,미상,352,김원홍,연도미상 김일성정치군사대학 졸업,,김일성정치군사대학교,대학교,북한,year_김일성정치군사대학교_대학교_북한
김윤혁a,연도미상,김책공업종합대학,,미상,,,,,,,,
김윤혁a,연도미상,레닌그라드공대,,미상,,,,,,,,
김익현,연도미상,김일성고급당학교,,미상,281,김익현,연도미상 김일성고급당학교,,김일성고급당학교,특수학교,북한,year_김일성고급당학교_특수학교_북한
김인식,연도미상,김책공대,,졸업,,,,,,,,
김일,연도미상,타쉬겐트종합대,,미상,,1948_name_특수학교_,,,,,,
김일성,1927,만주 길림 육문중 수학(중퇴),,미상,248,김일성,1923. 2 창덕학교 입학,1923,창덕학교,인민학교,북한,1923_창덕학교_인민학교_북한
김일성,1927,만주 길림 육문중 수학(중퇴),,미상,248,김일성,1925. 만주 무송 제1소학교 전학,1925,제1소학교,인민학교,북한,1925_제1소학교_인민학교_북한
김일성,1927,만주 길림 육문중 수학(중퇴),,미상,248,김일성,1926. 화성의숙(전현) 전학,1926,화성의숙,고등중학교,만주,1926_화성의숙_고등중학교_만주
김일성,1927,만주 길림 육문중 수학(중퇴),,미상,248,김일성,"1927. 만주 길림 육문중 수학(중퇴), 공산청년동맹 가입",1927,육문중학교,고등중학교,북한,1927_육문중학교_고등중학교_북한
김일성,1926,화성의숙(전현) 전학,,미상,248,김일성,1923. 2 창덕학교 입학,1923,창덕학교,인민학교,북한,1923_창덕학교_인민학교_북한
김일성,1926,화성의숙(전현) 전학,,미상,248,김일성,1925. 만주 무송 제1소학교 전학,1925,제1소학교,인민학교,북한,1925_제1소학교_인민학교_북한
김일성,1926,화성의숙(전현) 전학,,미상,248,김일성,1926. 화성의숙(전현) 전학,1926,화성의숙,고등중학교,만주,1926_화성의숙_고등중학교_만주
